DealID,Scenario,LoanID,PeriodEndDate,BeginningBalance,GrossInterest,ServicingFee,NetInterest,ScheduledPrincipal,PrepaymentPrincipal,DefaultPrincipal,RecoveryAmount,RealizedLoss,EndingBalance,Status
CMBS_NEW_AEOYEE,Base,NI_L0001,2026-02-28,55057042.04,381315.9,11470.22,369845.68,34672.69,380594.73,92613.79,0.0,37045.52,54549160.83,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0002,2026-02-28,22019152.38,104976.31,4587.32,100388.99,33161.97,152212.56,37039.35,0.0,14815.74,21796738.49,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0003,2026-02-28,54512260.73,236446.93,11356.72,225090.21,129511.75,376828.8,91697.39,0.0,36678.96,53914222.79,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0004,2026-02-28,67691173.02,352388.96,14102.33,338286.64,94023.46,467931.13,113866.2,0.0,45546.48,67015352.23,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0005,2026-02-28,160031771.18,1032738.36,33339.95,999398.41,175397.31,1106257.2,269196.25,0.0,107678.5,158480920.41,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0006,2026-02-28,8241002.97,45380.46,1716.88,43663.58,16587.35,56967.87,13862.54,0.0,5545.02,8153585.21,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0007,2026-02-28,152729339.82,938394.52,31818.61,906575.91,116260.9,1055777.43,256912.52,0.0,102765.01,151300388.97,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0008,2026-02-28,98892535.82,388730.08,20602.61,368127.46,125174.97,683617.88,166351.34,0.0,66540.54,97917391.63,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0009,2026-02-28,98142653.77,332785.38,20446.39,312339.0,188994.11,678434.14,165089.93,0.0,66035.97,97110135.59,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0010,2026-02-28,67489731.14,364669.51,14060.36,350609.15,61201.59,466538.62,113527.35,0.0,45410.94,66848463.59,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0011,2026-02-28,23449582.93,99856.14,4885.33,94970.81,0.0,162100.75,39445.54,0.0,15778.22,23248036.64,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0012,2026-02-28,85798512.83,603235.04,17874.69,585360.35,137926.83,593102.37,144325.33,0.0,57730.13,84923158.31,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0013,2026-02-28,31958386.79,138726.03,6658.0,132068.03,36938.67,220919.85,53758.56,0.0,21503.42,31646769.7,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0014,2026-02-28,98947773.21,475938.79,20614.12,455324.67,102877.17,683999.72,166444.26,0.0,66577.7,97994452.06,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0015,2026-02-28,169336600.45,564737.56,35278.46,529459.1,0.0,1170579.02,284848.3,0.0,113939.32,167881173.13,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0016,2026-02-28,97640930.05,368024.94,20341.86,347683.08,250912.69,674965.86,164245.96,0.0,65698.39,96550805.54,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0017,2026-02-28,121732418.0,473741.99,25360.92,448381.07,307612.89,841503.93,204771.28,0.0,81908.51,120378529.9,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0018,2026-02-28,92813749.82,486576.08,19336.2,467239.89,128042.15,641596.84,156125.96,0.0,62450.38,91887984.87,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0019,2026-02-28,91169892.71,491709.62,18993.73,472715.89,0.0,630233.29,153360.76,0.0,61344.3,90386298.66,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0020,2026-02-28,10506155.57,44983.86,2188.78,42795.07,12304.86,72626.27,17672.85,0.0,7069.14,10403551.59,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0021,2026-02-28,56758917.71,190662.66,11824.77,178837.89,81328.46,392359.35,95476.59,0.0,38190.64,56189753.31,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0022,2026-02-28,29564644.11,132326.42,6159.3,126167.12,33153.37,204372.55,49731.95,0.0,19892.78,29277386.25,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0023,2026-02-28,41222490.31,221742.65,8588.02,213154.63,84510.04,284960.14,69342.11,0.0,27736.84,40783678.02,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0024,2026-02-28,91157779.38,496278.14,18991.2,477286.94,185141.95,630149.56,153340.38,0.0,61336.15,90189147.5,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0025,2026-02-28,59447797.09,198753.8,12384.96,186368.84,0.0,410946.86,99999.67,0.0,39999.87,58936850.56,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0026,2026-02-28,85527250.22,447806.43,17818.18,429988.25,0.0,591227.2,143869.03,0.0,57547.61,84792153.99,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0027,2026-02-28,96801600.25,678014.54,20167.0,657847.54,0.0,669163.79,162834.09,0.0,65133.64,95969602.37,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0028,2026-02-28,95133937.16,565095.59,19819.57,545276.02,0.0,657635.68,160028.84,0.0,64011.54,94316272.64,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0029,2026-02-28,143790154.11,962435.43,29956.28,932479.15,150410.15,993983.21,241875.54,0.0,96750.21,142403885.22,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0030,2026-02-28,73387487.22,474633.57,15289.06,459344.51,80213.32,507308.24,123448.22,0.0,49379.29,72676517.45,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0031,2026-02-28,100593262.57,624600.33,20956.93,603643.4,75390.25,695374.55,169212.21,0.0,67684.88,99653285.56,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0032,2026-02-28,148984676.53,925939.76,31038.47,894901.29,170976.91,1029891.56,250613.46,0.0,100245.39,147533194.59,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0033,2026-02-28,24109216.05,133464.6,5022.75,128441.85,0.0,166660.62,40555.14,0.0,16222.06,23902000.29,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0034,2026-02-28,14323064.16,67008.07,2983.97,64024.1,21925.85,99011.54,24093.44,0.0,9637.37,14178033.33,Defaulted
CMBS_NEW_AEOYEE,Base,NI_L0035,2026-02-28,143573178.61,704465.73,29911.08,674554.65,314881.95,992483.31,241510.55,0.0,96604.22,142024302.8,Defaulted
